Producto,Codígo de Barras,Precio
MASAS SECA ESPECIAL,2001000000000,8669.0078125
MASAS BUEN GUSTO SECA ESPECIAL<100>,2401000000000,8669.0078125
MASAS BUEN GUSTO SECA ESPECIAL<100>,2001000000000,8669.0078125
ACELGA,2010010000000,1411.7640380859375
ACELGA <1001>,2410010000000,1411.7640380859375
ACELGA <1001>,2010010000000,1411.7640380859375
CHUPETIN MINIONS SPR,7896624202585,223.05799865722656
CHUPETIN MINIONS SPRING POP X 14 GR,7896624202585,223.05799865722656
QUE LA PAU HEBRAS X 135G,7794990177530,2553.718994140625
QUESO LA PAULINA HEBRAS ITALIA X135,7794990177530,2553.718994140625
QUESO LA PAULINA HEBRAS ITALIA X135,7794990875108,2553.718994140625
QUESO LA PAULINA EN HEBRAS ITALIA X 135,7794990879748,2553.718994140625
D DULCOR BAT C/CHOC CAJ,2037990000000,2008.1829833984375
DULCE DULCOR BATATA C/CHOCOLATE <3799>    ,2037990000000,2008.1829833984375
DULCE DULCOR BATATA C/CHOCOLATE <3799>    ,2437990000000,2008.1829833984375
CREMA D. CLOSE UP UP ALOE ,7891150063594,2140.49609375
PASTA DENTAL CLOUSE UP ALOE X 90 GR,7891150063594,2140.49609375
VERTEDOR ESTAMPADO X 2,7791230052596,2355.2890625
VERTEDOR ESTAMPADO LATA AZU+YER -5259,7791230052596,2355.2890625
JABON SUAVE LIQ DP NJA/MIEL 220 ML,7791293049410,975.1240234375
JABON SUAVE LIQ DP NJA/MIEL 220 ML,7791293049410,975.1240234375
AJO X UNIDAD,2010040000000,859.72900390625
AJO X UNIDAD <1004>,2410040000000,859.72900390625
AJO X UNIDAD <1004>,2010040000000,859.72900390625
JABON SUAVE LIQ DP PEP/ALOE 220 ML,7791293049427,975.1240234375
JABON SUAVE LIQ DP PEP/ALOE 220 ML,7791293049427,975.1240234375
D ARCO/ORO BATATA BARRA,2037710000000,1942.14404296875
DULCE BEL SWEET BATATA VAIN.BARRA <3771>  ,2037710000000,1942.14404296875
DULCE BEL SWEET BATATA VAIN.BARRA <3771>  ,2437710000000,1942.14404296875
DUL ARCOR BATATA BARRA,2034370000000,2231.322998046875
DULCE ARCOR BATATA BARRA <3437>           ,2034370000000,2231.322998046875
DULCE ARCOR BATATA BARRA <3437>           ,2434370000000,2231.322998046875
PAN MENDIA PANCHO X 6 UN,7790522011990,991.6530151367188
PAN MENDIA PANCHO X 6 UN,7790522011990,991.6530151367188
D. DULCOR MEMBRILLO CAJ,2038170000000,2801.653076171875
DULCE DULCOR MEMBRILLO BARRA <3817>,2038170000000,2801.653076171875
DULCE DULCOR MEMBRILLO BARRA <3817>,2438170000000,2801.653076171875
D. DULCOR BATATA CAJON,2037220000000,1710.6610107421875
DULCE DULCOR BATATA VAINILLA CAJON <3722>,2037220000000,1710.6610107421875
DULCE DULCOR BATATA VAINILLA CAJON <3722>,2437220000000,1710.6610107421875
DESODORANTE DOVE AT PROT/TOTAL 250G,7891150081215,3479.257080078125
DESODORANTE DOVE AT PROT/TOTAL 250G,7891150081215,3479.257080078125
FIDEOS LUCHETTI PENNE RIGATE X 500 ,7790070336361,1074.2979736328125
FIDEOS LUCHETTI PENNE RIG. N45 X500 ,7790070336361,1074.2979736328125
DESODORANTE PATRICHS AIR X 230 ML,7791293049717,2313.966064453125
DESODORANTE PATRICHS AIR ACQUA X230M,7791293049717,2313.966064453125
ARROZ  CLICK LARGO FINO X 1 KG.-,763571830178,1537.1080322265625
ARROZ  CLICK LARGO FINO X 1 KG.-,763571830178,1537.1080322265625
FIDEOS LUCHETTI TALLARIN N5 X 500G,7790070336118,1074.2979736328125
FIDEOS LUCHETTI TALLARIN N5 X 500G,7790070336118,1074.2979736328125
SHAMPOO DOVE LARGOS FORT. 400 ML,7791293050331,4247.85205078125
SHAMPOO DOVE LARGOS FORT. 400 ML,7791293050331,4247.85205078125
BOLIGRAFO BIC FASHION X4,070330193499,3396.612060546875
BOLIGRAFO BIC FASHION X4,070330193499,3396.612060546875
BOLIGRAFO BIC FASHION X4,070330200296,3396.612060546875
CAFE ARLISTAN SEL X 50G,7790070936516,1198.2640380859375
CAFE ARLISTAN X 50 GR.-12          ,7790070936516,1198.2640380859375
FELPUDO ELIP GOMA RECT,7797130007025,10867.767578125
FELPUDO ELIPLAST GOMA RECT BIENV-4679,7797130007025,10867.767578125
QUESO MILKAUT CREMATTO 445 GR,7794820903070,2264.37890625
QUESO MILKAUT CREMATTO CLAS. 445 GR,7794820903070,2264.37890625
CREM/LECHE LA PAU. X 350,7790398000272,2950.3310546875
CREMA DE LECHE LA PAULINA X 350GR ,7790398000272,2950.3310546875
FIDEOS EST. PARANA CINTA N5 X500GR,7798115940030,1611.488037109375
FIDEOS EST. PARANA CINTA N5 X500GR,7798115940030,1611.488037109375
ORGANIZADOR STD DUCHA,7791230026856,446.281005859375
ORGANIZADOR STD DUCHA A.100 -2685,7791230026856,446.281005859375
ORGANIZADOR STD DUCHA A.100 -2685,7795722043109,446.281005859375
POLVO GRANBY MATIC BICARB X 3 KG,7791290795105,4231.32080078125
POLVO GRANBY MATIC BICARB X 3 KG,7791290795105,4231.32080078125
HERMETICO DIFPLAST 2.25L,7798126381112,256.197998046875
HERMETICO DIFPLAST RED/GRA X 2.25LT-2698,7798126381112,256.197998046875
CAFE LA VIRG SUAVE X 50G,7790150101667,1570.166015625
CAFE LA VIRGINIA SUAVE X 50 GR.    ,7790150010426,1570.166015625
CAFE LA VIRGINIA SUAVE X 50 GR.    ,7790150101636,1570.166015625
CAFE LA VIRGINIA SUAVE X 50 GR.-,7790150101667,1570.166015625
CAPP LA VIRG LIGHT X100G,7790150160923,2297.43798828125
CAPPUCCINO LA VIRGINIA LIG.DP X100G,7790150160909,2297.43798828125
CAPPUCCINO LA VIRGINIA LIG.DP X100G,7790150160923,2297.43798828125
CAFE LA VIRGINIA CAP/LIGHT DP X100G,7790150695555,2297.43798828125
CAFE KALMA DECAF X 100GR,7790150110157,524.8800048828125
CAFE KALMA DECAFEINADO FCO.X100GR. ,7790150090466,524.8800048828125
CAFE KALMA DECAFEINADO FCO.X100GR. ,7790150110157,524.8800048828125
TOSTADAS SER X 200GR,7790040107311,221.4739990234375
TOSTADAS SER X 200GR,7790040107311,221.4739990234375
TAZON DURAX FACETADO,7798118411810,1222.31396484375
TAZON DURAX FACETADO CRISTAL,7798118411810,1222.31396484375
TELGOPOR PARA LATA CERV,7791230055481,1148.760986328125
TELGOPOR PARA LATA CERVEZA X 470.-5548,7791230055481,1148.760986328125
AGUILA X150G            ,7790580131494,2561.90087890625
BANO REPOSTERO AGUILA BLANCO X150GR       ,7790407031471,2561.90087890625
BANO REPOSTERO AGUILA BLANCO X 150G,7790580131494,2561.90087890625
BANO REPOST.            ,7790580131470,2561.90087890625
BANO REPOSTERO AGUILA LECHE 150G-12,7790407031648,2561.90087890625
BANO REPOSTERO AGUILA LECHE 150 GR,7790580131470,2561.90087890625
BANO REPOST.            ,7790580131487,2561.90087890625
BANO REPOSTERO AGUILA SEMIAMAR.X150,7790407031556,2561.90087890625
BANO REPOSTERO AGUILA SEMIAMAR 150G,7790580131487,2561.90087890625
CREMA CHANT DAUBY X 100G,7793589000013,1818.0989990234375
CREMA CHANTILLY DAUBY X 100 GRS.   ,7793589000013,1818.0989990234375
FLAN ROYAL LIGHT X 16G,7622300871581,751.9829711914062
FLAN ROYAL VAINILLA LIGHT X 16 GR ,7622300739591,751.9829711914062
FLAN ROYAL LIGHT VAINILLA X 16 GR.-,7622300871581,751.9829711914062
FLAN ROYAL VAINILLA LIGHT X 16 GR ,7793333671278,751.9829711914062
GAS MANAOS POMELO BLANCOX2.25,7798113302458,1437.9339599609375
GASEOSA MANAOS POMELO BLANCOX2.25,7798113301024,1437.9339599609375
GASEOSA MANAOS POMELO BCO X 2.25 LT,7798113302458,1437.9339599609375
GALLET LINCOLN X 459GR,7622201745547,2396.612060546875
GALLET LINCOLN CLASICA X 459 GR.-,7622201745547,2396.612060546875
GALLETITA LINCOLN AGRUP X 459GR,7622300834562,2396.612060546875
VINAGRE DE ALCOHOL CASALTA X 1 LT,7790139003173,999.9169921875
VINAGRE DE ALCOHOL CASALTA X 1 LT,7790139003173,999.9169921875
CREMA CHANT DAUBY X 250G,7793589000037,4537.19091796875
CREMA CHANTILLY DAUBY X 250 GR.    ,7793589000037,4537.19091796875
SORBITO CON TETINA X240CC,7792579017055,1239.5870361328125
SORBITO CON TETINAX240CC,7792579017055,1239.5870361328125
LECHE ILOLAY ENT X 800G,7790787201242,6983.47216796875
LECHE ILOLAY POLVO ENT. X 800G -123-    ,7790787201228,6983.47216796875
LECHE ILOLAY POLVO ENT. X 800G -123-    ,7790787201242,6983.47216796875
LECHE ILOLAY DES X 800G,7790787201303,4867.76904296875
LECHE ILOLAY POLVO DES. X 800G -130-    ,3066,4867.76904296875
LECHE ILOLAY POLVO DES. X 800G -130-    ,7790787201303,4867.76904296875
PEINE CAREY ,6970018550092,561.9010009765625
PEINE CAREY SET X 2 - 22 CM.,6970018550092,561.9010009765625
MOLDE JAIS BUDIN INGLES,10367,5198.34716796875
COPA POSTRE BASE COLOR,7791230041484,57.76900100708008
COPA ESCOBI POSTRE PLAST BASE COLOR-4148,7791230041484,57.76900100708008
LECHE MILKAUT CHOC X 1LT,7794820903124,1942.0660400390625
LECHE MILKAUT CHOCOLATADA X 1L.-12-,7794820002810,1942.0660400390625
LECHE MILKAUT CHOCOLATADA X 1 LT.-,7794820903124,1942.0660400390625
LECHE MILKAU            ,7794820000526,8776.7802734375
LECHE MILKAUT DESCREMADA X 800GR-12,7794820000526,8776.7802734375
LECH.MILKAUT            ,7794820001103,8776.7802734375
LECHE MILKAUT ENTERA X 800GR. -10- ,7794820001103,8776.7802734375
LECHE MILKAUT L.V X 1 LT,7794820015254,157.02499389648438
LECHE MILKAUT L.V. ENTERA X 1L. -12,7794820001936,157.02499389648438
LECHE MILKAUT L.V. ENTERA X 1L. -12,7794820015094,157.02499389648438
LECHE MILKAUT L.V. ENTERA X 1L. -12,7794820015254,157.02499389648438
L. MILKAUT L.V. DES X LT,7794820015261,157.02499389648438
LECHE MILKAUT L.V. DESCREM. X 1L-12,7794820001943,157.02499389648438
LECHE MILKAUT L.V. DESCREM. X 1L-12,7794820015100,157.02499389648438
LECHE MILKAUT L.V. DESCREM. X 1L-12,7794820015261,157.02499389648438
GELATINA RUKA S/SABOR,7798130190090,1258.177978515625
GELATINA RUKA SIN SABOR X 25 GR.-,7798130190090,1258.177978515625
EXPRIMIDOR PLASTICO C/V,7794297010325,3016.528076171875
EXPRIMIDOR PLASTICO C/CASO X 550 CC -6326,7794297010325,3016.528076171875
SOPA KNORR CREMA,7794000598263,495.7850036621094
SOPA KNORR CREMA DE ESPARR. X75.-60,7794000511118,495.7850036621094
SOPA KNORR CREMA DE ESPARR. X75.-60,7794000539211,495.7850036621094
SOPA KNORR CREMA DE ESPARR. X75.-60,7794000596863,495.7850036621094
SOPA KNORR CREMA DE ESPARR. X75.-60,7794000598263,495.7850036621094
TARRO RECIDUO C/ PEDAL 6 LTS,7794297033096,1396.6939697265625
TARRO RECIDUO CON PEDAL X 6LT,7794297033096,1396.6939697265625
SOPA KNORR CREMA,7794000004337,495.7850036621094
SOPA KNORR CREMA DE ZAPALLO,7794000000155,495.7850036621094
SOPA KNORR CREMA DE ZAPALLO,7794000004337,495.7850036621094
SOPA KNORR CREMA DE ZAPALLO X82.-60,7794000533110,495.7850036621094
SOPA KNORR CREMA DE ZAPALLO X82.-60,7794000596924,495.7850036621094
SOPA KNORR CREMA DE ZAPALLO X82.-60,7794000598355,495.7850036621094
PURE KNORR X 125 G.,7794000006362,1537.1070556640625
PURE PAPAS KNORR INST. X 125 GR.-,7794000004139,1537.1070556640625
PURE PAPAS KNORR INST. X 125 GR.-,7794000006362,1537.1070556640625
PURE PAPA KNORR INST.X 125 -20     ,7794000598805,1537.1070556640625
SOPA KNORR CREMA,7794000598331,495.7850036621094
SOPA KNORR CREMA DE QUESO X 77GR   ,7794000517110,495.7850036621094
SOPA KNORR CREMA DE QUESO X 77GR   ,7794000596900,495.7850036621094
SOPA KNORR CREMA DE QUESO X 77GR   ,7794000598331,495.7850036621094
SOPA KNORR CASERAS,7794000999381,495.7850036621094
SOPA KNORR CASERA VERD.C/FID. -24. ,7794000522114,495.7850036621094
SOPA KNORR CASERA DEDALITO. -24. ,7794000598164,495.7850036621094
SOPA KNORR CASERA VERD. + DEDALITOS,7794000999381,495.7850036621094
SOPA KNORR CREMA,7794000004313,495.7850036621094
SOPA KNORR CREMA ARV/JAMON X86G,7794000004313,495.7850036621094
SOPA KNORR CREMA ARV/JAMON X81.-60 ,7794000513112,495.7850036621094
SOPA KNORR CREMA ARV/JAMON X81.-60 ,7794000594869,495.7850036621094
SOPA KNORR CREMA ARV/JAMON X86G,7794000596894,495.7850036621094
SOPA KNORR CREMA ARV/JAMON X81.-60 ,7794000598317,495.7850036621094
SOPA KNORR  CASERA,7794000598171,495.7850036621094
SOPA KNORR CASERA EXTRA G. CARACOL.. CAB ANGE-24.  ,7794000598171,495.7850036621094
SOPA KNORR CREMA,7794000005907,495.7850036621094
SOPA KNORR CREMA DE CEBOLLA X 10 UN,7794000005907,495.7850036621094
SOPA KNORR CREMA DE CEBOLLA X81.-60,7794000516113,495.7850036621094
SOPA KNORR CREMA DE CEBOLLA X81.-60,7794000596986,495.7850036621094
SOPA KNORR CREMA DE CEBOLLA X81.-60,7794000598409,495.7850036621094
SOPA KNORR CREMA,7794000008687,495.7850036621094
SOPA KNORR CREMA CHOCLO ,7794000000179,495.7850036621094
SOPA KNORR CREMA CHOCLO ,7794000004320,495.7850036621094
SOPA KNORR CREMA CHOCLO ,7794000008687,495.7850036621094
SOPA KNORR CREMA DE CHOCLO X77G.-60,7794000535114,495.7850036621094
SOPA KNORR CREMA DE CHOCLO X77G.-60,7794000596832,495.7850036621094
SOPA KNORR CREMA DE CHOCLO X77G.-60,7794000596931,495.7850036621094
SOPA KNORR CREMA DE CHOCLO X77G.-60,7794000596948,495.7850036621094
SOPA KNORR CREMA DE CHOCLO X77G.-60,7794000598379,495.7850036621094
JABONERA DIF-PLAST GDE,7798126383239,851.156982421875
